,id,lat,long
12354,945,40.73996823228241,-73.89529845950625
12355,945,40.73994443690611,-73.89516542350418
12356,567,40.58381125879626,-73.81527984537068
12357,567,40.58378879349332,-73.81537123720076
12358,567,40.585050938551554,-73.81035360282702
12359,645,40.81026763326369,-73.92765348080864
12360,772,40.843087832820366,-73.91178396449212
12361,772,40.843179491340734,-73.91175338066586
12362,945,40.73861444390297,-73.88823591664149
12363,945,40.73859663561261,-73.8881377654232
12364,945,40.73903974610453,-73.88828357783349
12365,945,40.738990549701896,-73.88806857817664
12366,945,40.73867090866422,-73.88848042843318
12367,945,40.73863308750025,-73.88831334819527
12368,945,40.73425473294068,-73.87378770557419
12369,945,40.73400323493958,-73.87292441818194
12370,945,40.73291074800178,-73.8692338665728
12371,945,40.732866769224444,-73.8691001714454
12372,945,40.73195400275233,-73.8672434093794
12373,945,40.731806134899145,-73.86701342386466
12374,945,40.73220248959164,-73.86697057278566
12375,945,40.73207045658299,-73.86673663464599
12376,57,40.58181817911688,-73.985860769025
12377,57,40.581391710439526,-73.98571928608136
12378,1003,40.57761598960977,-73.99793099164336
12379,986,40.722996978626796,-73.9885950147552
12380,986,40.7229702417694,-73.9885061291214
12381,945,40.73448645707006,-73.8730632596489
12382,945,40.73438030000425,-73.87265899501995
12383,945,40.740333636122784,-73.8952046871951
12384,945,40.740307572311025,-73.89507269474669
12385,945,40.7284133454551,-73.85710369921931
12386,945,40.728248390403486,-73.85666130498319
12387,945,40.73530694752656,-73.8751729538819
12388,945,40.735121636456434,-73.87482795074634
12389,945,40.73326694117581,-73.87036197662611
12390,945,40.733199615893035,-73.87013533742149
12391,945,40.73503599708731,-73.87553323049194
12392,945,40.73481417497638,-73.87511837878313
12393,57,40.5840829527972,-73.9866950482165
12394,57,40.583770261042595,-73.98651549187909
12395,90,40.57770394697829,-73.99687601575484
12396,90,40.57769352965615,-73.99697477565121
12397,986,40.72323498446037,-73.98936020340373
12398,986,40.72303742430247,-73.98872503031335
12399,223,40.6506046858749,-73.97265180699587
12400,223,40.65031222708916,-73.9734689208157
12401,871,40.7329007320516,-73.73554507865447
12402,871,40.732844018779105,-73.73557256677327
12403,195,40.7001936856588,-73.98687783910415
12404,564,40.586702426255506,-73.81703219915107
12405,943,40.58713763754571,-73.81593048797677
12406,98,40.597268561879396,-73.99865586635737
12407,684,40.84028258364352,-73.92137136325566
12408,425,40.76059923091431,-73.96431353643992
12409,425,40.761037566142996,-73.9640159756682
12410,579,40.71291441726894,-73.82387753880309
12411,579,40.71294087822449,-73.82383889081736
12412,579,40.713021737330685,-73.82372319366307
12413,774,40.725697431435215,-73.83788788613302
12414,774,40.72573456907719,-73.83776618494669
12415,792,40.72636743721637,-73.83821301305544
12416,792,40.72640751408055,-73.83808143173124
12417,792,40.726983380359194,-73.83611381555451
12418,833,40.88885979130942,-73.82856050858494
12419,833,40.88878127211963,-73.82844150615603
12420,74,40.68420935901367,-74.02319693659447
12421,74,40.684162321573176,-74.02501936299049
12422,244,40.79002185677319,-73.95724410078546
12423,996,40.58593285852968,-73.81670091315151
12424,996,40.58657441460185,-73.81709261320873
